School ID,School Name,Network ,SQRP Total Points Earned,SY 2017-2018 SQRP Rating,SY 2017-2018 Accountability Status,National School Growth Percentile - Reading,,,,National School Growth Percentile - Math,,,,Percent of Students Meeting/Exceeding National Average Growth Norms,,,,African-American Growth Percentile - Reading,,,,Hispanic Growth Percentile - Reading,,,,English Learner Growth Percentile - Reading,,,,Diverse Learner Growth Percentile - Reading,,,,African-American Growth Percentile - Math,,,,Hispanic Growth Percentile - Math,,,,English Learner Growth Percentile - Math,,,,Diverse Learner Growth Percentile - Math,,,,National School Attainment %ile - Reading (Grades 3-8),,,,National School Attainment %ile - Math (Grades 3-8),,,,National School Attainment %ile - Reading (Grade 2),,,,National School Attainment %ile - Math (Grade 2),,,,Average Daily Attendance Rate (Grades K-8),,,"My Voice, My School 5 Essentials Survey",,,Data Quality Index Score,,
,,,,,,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score,Part. Rate,Points,Weight,Score ,Points,Weight,Score ,Points,Weight,Score ,Points,Weight
400040,FRAZIER CHARTER,Charter,2.2,Level 2,Not Applicable,42,100,3,17.5,24,100,2,17.5,48.2,100,2,10,42,100,3,1.25,,,,,,,,,75,100,5,1.25,24,100,2,1.25,,,,,,,,,14,100,2,1.25,25,100,2,5,17,100,2,5,13,100,2,2.5,6,100,1,2.5,92.5,2,20,Not Yet Organized,1,10,98.9,4,5
400043,HOPE INSTITUTE,Contract,2.4,Level 2,Provisional Support,14,100,2,17.5,22,100,2,17.5,38.8,100,1,10,14,100,2,1.25,,,,,,,,,3,100,1,1.25,19,100,2,1.25,,,,,,,,,23,100,2,1.25,20,100,2,5,19,100,2,5,27,100,2,2.5,18,100,2,2.5,94.3,3,20,Organized,4,10,100,5,5
400044,KIPP - ASCEND,Charter,3.4,Level 2+,Not Applicable,58,100,3,17.5,61,100,3,17.5,54.7,100,3,10,56,100,4,1.25,,,,,,,,,4,100,1,1.25,60,100,4,1.25,,,,,,,,,47,100,3,1.25,33,100,2,5,34,100,2,5,22,100,2,2.5,32,100,2,2.5,95.4,4,20,Well Organized,5,10,99.9,5,5
400045,NKRUMAH,Charter,1.5,Level 3,Not Applicable,29,100,2,18.75,9,100,1,18.75,39.6,100,1,10,29,100,2,1.25,,,,,,,,,,,,,9,100,1,1.25,,,,,,,,,,,,,41,100,3,5,14,100,2,5,32,100,2,2.5,9,100,1,2.5,91,1,20,Not Yet Organized,1,10,97.4,4,5
400046,LEARN - BUTLER,Charter,3.9,Level 1,Not Applicable,82,100,4,17.5,70,100,4,17.5,60.6,100,4,10,83,100,5,1.25,,,,,,,,,90,100,5,1.25,72,100,5,1.25,,,,,,,,,55,100,4,1.25,57,100,3,5,44,100,3,5,59,100,3,2.5,66,100,3,2.5,96.3,5,20,Partially Organized,2,10,100,5,5
400047,LEARN - CAMPBELL,Charter,3.5,Level 1,Not Applicable,58,100,3,18.75,58,100,3,18.75,53.6,100,3,10,58,100,4,1.25,,,,,,,,,,,,,53,100,4,1.25,,,,,,,,,,,,,46,100,3,5,53,100,3,5,36,100,2,2.5,45,100,3,2.5,95.1,4,20,Well Organized,5,10,99.8,5,5
400048,LEARN - EXCEL,Charter,4.3,Level 1+,Not Applicable,85,100,4,17.5,78,100,4,17.5,63,100,4,10,85,100,5,1.25,,,,,,,,,70,100,5,1.25,76,100,5,1.25,,,,,,,,,50,100,4,1.25,46,100,3,5,46,100,3,5,56,100,3,2.5,77,100,4,2.5,96.5,5,20,Well Organized,5,10,99.8,5,5
400049,LEGACY,Charter,3.4,Level 2+,Not Applicable,56,100,3,17.5,48,100,3,17.5,55.8,100,3,10,54,100,4,1.25,,,,,,,,,71,100,5,1.25,48,100,3,1.25,,,,,,,,,25,100,2,1.25,46,100,3,5,39,100,2,5,46,100,3,2.5,42,100,3,2.5,95.7,4,20,Organized,4,10,99.7,5,5
400050,NAMASTE,Charter,3.6,Level 1,Not Applicable,71,100,4,16.25,43,100,3,16.25,53.5,100,3,10,,,,,66,100,4,1.25,75,100,5,1.25,54,100,4,1.25,,,,,42,100,3,1.25,63,100,4,1.25,14,100,2,1.25,57,100,3,5,37,100,2,5,18,100,2,2.5,19,100,2,2.5,96,5,20,Moderately Organized,3,10,100,5,5
400060,AHS - PASSAGES,Charter,2.9,Level 2+,Not Applicable,60,100,3,16.25,28,100,2,16.25,53.6,100,3,10,62,100,4,1.25,56,100,4,1.25,48,100,3,1.25,,,,,11,100,2,1.25,30,100,3,1.25,52,100,4,1.25,,,,,81,100,4,5,62,100,3,5,91,100,5,2.5,96,100,5,2.5,94.7,3,20,Not Yet Organized,1,10,97.7,4,5
